n,i,z,author
40,1,-1.5538065375157495,pedromxavier
40,2,-0.7013141749532328,pedromxavier
40,3,-1.417194747674704,pedromxavier
60,1,-1.7745889457489779,pedromxavier
60,2,-2.338856211411599,pedromxavier
60,3,-1.3751528590290376,pedromxavier
80,1,-2.784760961810018,pedromxavier
80,2,-2.444582870997638,pedromxavier
80,3,-2.4382336956909243,pedromxavier
100,1,-2.4706313485488116,pedromxavier
100,2,-2.8979248451740958,pedromxavier
100,3,-2.663713311616049,pedromxavier
140,1,-3.0764647270692898,pedromxavier
140,2,-3.1615364839007722,pedromxavier
140,3,-1.5538943595821644,pedromxavier
180,1,-2.0501294828647803,pedromxavier
180,2,-1.6473029898556661,pedromxavier
180,3,-1.7176117910267736,pedromxavier
200,1,-1.9799689238735603,pedromxavier
200,2,-1.504869562742574,pedromxavier
200,3,-1.457546267197498,pedromxavier
240,1,-0.3691343968544942,pedromxavier
240,2,-0.830199698303832,pedromxavier
240,3,-0.9412724999435218,pedromxavier
280,1,1.203526734735275,pedromxavier
280,2,1.1319364940345207,pedromxavier
280,3,0.7033806253388033,pedromxavier
